wavelength,Qabs
735,1.25E-04
736,1.46E-04
737,1.37E-04
738,1.22E-04
739,1.15E-04
740,1.31E-04
741,1.49E-04
742,1.31E-04
743,9.09E-05
744,1.03E-04
745,1.40E-04
746,1.31E-04
747,1.28E-04
748,1.31E-04
749,1.22E-04
750,1.25E-04
751,1.31E-04
752,1.09E-04
753,1.09E-04
754,1.28E-04
755,1.19E-04
756,9.09E-05
757,8.48E-05
758,1.25E-04
759,1.49E-04
760,1.28E-04
761,1.22E-04
762,1.40E-04
763,1.46E-04
764,1.46E-04
765,1.28E-04
766,9.71E-05
767,1.00E-04
768,1.25E-04
769,1.43E-04
770,1.52E-04
771,1.15E-04
772,8.79E-05
773,1.15E-04
774,1.49E-04
775,1.43E-04
776,1.15E-04
777,1.46E-04
778,1.65E-04
779,1.43E-04
780,1.55E-04
781,1.34E-04
782,1.25E-04
783,1.46E-04
784,1.28E-04
785,1.15E-04
786,1.09E-04
787,1.34E-04
788,1.55E-04
789,1.31E-04
790,1.06E-04
791,1.06E-04
792,1.40E-04
793,1.52E-04
794,1.37E-04
795,9.09E-05
796,1.06E-04
797,1.25E-04
798,1.12E-04
799,1.37E-04
800,1.49E-04
801,1.43E-04
802,1.37E-04
803,1.52E-04
804,1.62E-04
805,1.43E-04
806,1.34E-04
807,1.62E-04
808,1.62E-04
809,1.31E-04
810,1.22E-04
811,1.25E-04
812,1.46E-04
813,1.55E-04
814,1.06E-04
815,9.71E-05
816,1.25E-04
817,1.03E-04
818,1.03E-04
819,9.71E-05
820,9.71E-05
821,1.12E-04
822,1.19E-04
823,1.00E-04
824,7.26E-05
825,7.26E-05
826,9.71E-05
827,1.09E-04
828,5.42E-05
829,6.34E-05
830,9.71E-05
831,-4.06E-05
832,-1.92E-05
833,6.64E-05
834,1.12E-04
835,1.58E-04
836,4.19E-05
837,6.95E-05
838,2.18E-06
839,-2.23E-05
840,-4.36E-05
841,-6.80E-05
842,-8.81E-07
843,-8.02E-05
844,-1.44E-04
845,-1.75E-04
846,-1.08E-04
847,-3.45E-05
848,6.03E-05
849,6.95E-05
850,-3.94E-06
851,-2.84E-05
852,-8.94E-05
853,-4.67E-05
854,2.36E-05
855,5.72E-05
856,1.13E-05
857,-6.19E-05
858,-4.67E-05
859,-8.81E-07
860,5.11E-05
861,3.58E-05
862,2.36E-05
863,8.29E-06
864,2.36E-05
865,4.19E-05
866,6.34E-05
867,3.89E-05
868,-2.84E-05
869,-3.45E-05
870,-3.75E-05
871,-7.72E-05
872,-9.24E-05
873,-1.38E-04
874,-1.11E-04
875,4.50E-05
876,2.36E-05
877,-1.17E-04
878,-1.35E-04
879,-5.58E-05
880,2.97E-05
881,4.81E-05
882,-3.45E-05
883,1.75E-05
884,1.25E-04
885,8.48E-05
886,4.50E-05
887,2.97E-05
888,-1.00E-05
889,-3.45E-05
890,-4.97E-05
891,-5.89E-05
892,-1.17E-04
893,-1.02E-04
894,3.28E-05
895,6.95E-05
896,-3.45E-05
897,-8.94E-05
898,-3.14E-05
899,-3.75E-05
900,-2.53E-05
901,2.36E-05
902,2.66E-05
903,2.05E-05
904,3.28E-05
905,2.18E-06
906,5.72E-05
907,1.65E-04
908,9.09E-05
909,1.44E-05
910,-2.23E-05
911,2.18E-06
912,3.89E-05
913,2.05E-05
914,-3.94E-06
915,-3.94E-06
916,9.40E-05
917,9.09E-05
918,1.13E-05
919,5.23E-06
920,3.28E-05
921,5.42E-05
922,4.19E-05
923,4.19E-05
924,1.75E-05
925,4.50E-05
926,8.79E-05
927,3.58E-05
928,-8.81E-07
929,8.29E-06
930,2.97E-05
931,8.48E-05
932,8.48E-05
933,2.18E-06
934,-2.84E-05
935,1.13E-05
936,3.89E-05
937,3.58E-05
938,2.97E-05
939,4.19E-05
940,2.97E-05
941,5.72E-05
942,6.64E-05
943,4.19E-05
944,2.97E-05
945,2.66E-05
946,5.72E-05
947,2.66E-05
948,1.13E-05
949,8.29E-06
950,1.44E-05
951,3.58E-05
952,4.50E-05
953,2.36E-05
954,1.44E-05
955,3.28E-05
956,2.66E-05
957,5.72E-05
958,5.72E-05
959,6.34E-05
960,9.40E-05
961,7.56E-05
962,5.11E-05
963,3.58E-05
964,6.03E-05
965,1.00E-04
966,8.48E-05
967,7.56E-05
968,6.34E-05
969,5.11E-05
970,7.56E-05
971,6.03E-05
972,2.66E-05
973,3.58E-05
974,6.95E-05
975,7.87E-05
976,6.34E-05
977,2.66E-05
978,2.66E-05
979,8.79E-05
980,1.12E-04
981,1.28E-04
982,1.09E-04
983,9.40E-05
984,1.12E-04
985,7.87E-05
986,7.26E-05
987,8.18E-05
988,7.26E-05
989,5.72E-05
990,4.19E-05
991,3.58E-05
992,3.58E-05
993,6.03E-05
994,5.42E-05
995,3.28E-05
996,5.72E-05
997,6.34E-05
998,3.28E-05
999,5.11E-05
1000,5.72E-05
1001,4.19E-05
1002,6.34E-05
1003,7.87E-05
1004,6.95E-05
1005,7.56E-05
1006,8.79E-05
1007,7.26E-05
1008,4.81E-05
1009,4.19E-05
1010,4.81E-05
1011,2.36E-05
1012,5.42E-05
1013,1.03E-04
1014,5.11E-05
1015,3.28E-05
1016,6.03E-05
1017,5.42E-05
1018,5.72E-05
1019,4.81E-05
1020,2.97E-05
1021,4.81E-05
1022,5.11E-05
1023,6.03E-05
1024,8.79E-05
1025,7.56E-05
1026,5.11E-05
1027,5.42E-05
1028,5.72E-05
1029,4.50E-05
1030,4.19E-05
1031,4.81E-05
1032,7.87E-05
1033,9.40E-05
1034,5.72E-05
1035,5.11E-05
1036,7.26E-05
1037,5.72E-05
1038,4.81E-05
1039,4.81E-05
1040,1.75E-05
1041,2.05E-05
1042,5.42E-05
1043,3.89E-05
1044,3.28E-05
1045,5.72E-05
1046,5.72E-05
1047,4.19E-05
1048,4.50E-05
1049,2.05E-05
1050,-6.99E-06
1051,-8.81E-07
1052,4.19E-05
1053,3.89E-05
1054,-8.81E-07
1055,1.44E-05
1056,5.11E-05
1057,6.34E-05
1058,5.11E-05
1059,4.19E-05
1060,4.81E-05
1061,5.42E-05
1062,5.11E-05
1063,4.81E-05
1064,2.97E-05
1065,2.66E-05
1066,3.58E-05
1067,2.36E-05
1068,2.66E-05
1069,4.19E-05
1070,2.97E-05
1071,3.28E-05
1072,4.81E-05
1073,4.81E-05
1074,2.36E-05
1075,8.29E-06
1076,2.66E-05
1077,2.66E-05
1078,2.05E-05
1079,2.05E-05
1080,1.13E-05
1081,1.44E-05
1082,2.36E-05
1083,2.66E-05
1084,3.58E-05
1085,5.11E-05
1086,3.58E-05
1087,2.18E-06
1088,-8.81E-07
1089,-6.99E-06
1090,-1.00E-05
1091,2.66E-05
1092,4.81E-05
1093,2.97E-05
1094,8.29E-06
1095,8.29E-06
1096,2.36E-05
1097,2.36E-05
1098,1.13E-05
1099,1.13E-05
1100,1.75E-05
1101,4.50E-05
1102,4.81E-05
1103,2.05E-05
1104,1.44E-05
1105,1.44E-05
1106,2.66E-05
1107,2.05E-05
1108,2.18E-06
1109,2.18E-06
1110,3.58E-05
1111,4.81E-05
1112,1.13E-05
1113,-1.00E-05
1114,2.05E-05
1115,2.97E-05
1116,1.44E-05
1117,2.97E-05
1118,1.75E-05
1119,-8.81E-07
1120,2.66E-05
1121,3.58E-05
1122,1.44E-05
1123,1.13E-05
1124,3.58E-05
1125,2.36E-05
1126,2.36E-05
1127,2.66E-05
1128,1.44E-05
1129,2.36E-05
1130,3.89E-05
1131,6.64E-05
1132,6.64E-05
1133,3.58E-05
1134,8.29E-06
1135,8.29E-06
1136,6.34E-05
1137,7.26E-05
1138,3.28E-05
1139,1.44E-05
1140,2.05E-05
1141,6.03E-05
1142,6.34E-05
1143,3.89E-05
1144,1.75E-05
1145,2.05E-05
1146,6.95E-05
1147,6.34E-05
1148,3.89E-05
1149,3.28E-05
1150,2.66E-05
