wavelength,Qabs
546,2.78E-03
547,2.75E-03
548,2.72E-03
549,2.69E-03
550,2.66E-03
551,2.63E-03
552,2.61E-03
553,2.59E-03
554,2.56E-03
555,2.53E-03
556,2.51E-03
557,2.48E-03
558,2.46E-03
559,2.44E-03
560,2.41E-03
561,2.39E-03
562,2.37E-03
563,2.34E-03
564,2.32E-03
565,2.30E-03
566,2.27E-03
567,2.25E-03
568,2.23E-03
569,2.21E-03
570,2.19E-03
571,2.16E-03
572,2.15E-03
573,2.12E-03
574,2.10E-03
575,2.08E-03
576,2.07E-03
577,2.05E-03
578,2.03E-03
579,2.01E-03
580,1.99E-03
581,1.97E-03
582,1.95E-03
583,1.93E-03
584,1.92E-03
585,1.90E-03
586,1.88E-03
587,1.86E-03
588,1.84E-03
589,1.83E-03
590,1.81E-03
591,1.79E-03
592,1.78E-03
593,1.76E-03
594,1.75E-03
595,1.73E-03
596,1.71E-03
597,1.70E-03
598,1.68E-03
599,1.67E-03
600,1.65E-03
601,1.64E-03
602,1.62E-03
603,1.61E-03
604,1.60E-03
605,1.58E-03
606,1.57E-03
607,1.55E-03
608,1.54E-03
609,1.53E-03
610,1.51E-03
611,1.50E-03
612,1.49E-03
613,1.47E-03
614,1.46E-03
615,1.45E-03
616,1.44E-03
617,1.42E-03
618,1.41E-03
619,1.40E-03
620,1.39E-03
621,1.38E-03
622,1.36E-03
623,1.35E-03
624,1.34E-03
625,1.33E-03
626,1.32E-03
627,1.31E-03
628,1.30E-03
629,1.28E-03
630,1.27E-03
631,1.26E-03
632,1.25E-03
633,1.24E-03
634,1.23E-03
635,1.22E-03
636,1.21E-03
637,1.20E-03
638,1.19E-03
639,1.18E-03
640,1.17E-03
641,1.16E-03
642,1.15E-03
643,1.14E-03
644,1.13E-03
645,1.12E-03
646,1.12E-03
647,1.11E-03
648,1.10E-03
649,1.09E-03
650,1.08E-03
651,1.07E-03
652,1.06E-03
653,1.05E-03
654,1.05E-03
655,1.04E-03
656,1.03E-03
657,1.02E-03
658,1.01E-03
659,1.00E-03
660,9.96E-04
661,9.89E-04
662,9.82E-04
663,9.73E-04
664,9.65E-04
665,9.58E-04
666,9.51E-04
667,9.43E-04
668,9.36E-04
669,9.28E-04
670,9.21E-04
671,9.14E-04
672,9.07E-04
673,9.00E-04
674,8.93E-04
675,8.86E-04
676,8.80E-04
677,8.73E-04
678,8.66E-04
679,8.59E-04
680,8.52E-04
681,8.47E-04
682,8.40E-04
683,8.33E-04
684,8.27E-04
685,8.21E-04
686,8.15E-04
687,8.08E-04
688,8.02E-04
689,7.96E-04
690,7.90E-04
691,7.85E-04
692,7.78E-04
693,7.72E-04
694,7.67E-04
695,7.61E-04
696,7.55E-04
697,7.50E-04
698,7.44E-04
699,7.38E-04
700,7.33E-04
701,7.28E-04
702,7.22E-04
703,7.17E-04
704,7.11E-04
705,7.06E-04
706,7.01E-04
707,6.97E-04
708,6.90E-04
709,6.85E-04
710,6.81E-04
711,6.75E-04
712,6.69E-04
713,6.64E-04
714,6.59E-04
715,6.56E-04
716,6.50E-04
717,6.45E-04
718,6.41E-04
719,6.35E-04
720,6.32E-04
721,6.28E-04
722,6.22E-04
723,6.17E-04
724,6.12E-04
725,6.08E-04
726,6.04E-04
727,5.99E-04
728,5.95E-04
729,5.91E-04
730,5.86E-04
731,5.81E-04
732,5.76E-04
733,5.72E-04
734,5.69E-04
735,5.66E-04
736,5.62E-04
737,5.55E-04
738,5.50E-04
739,5.48E-04
740,5.46E-04
741,5.42E-04
742,5.37E-04
743,5.32E-04
744,5.28E-04
745,5.26E-04
746,5.22E-04
747,5.17E-04
748,5.14E-04
749,5.12E-04
750,5.09E-04
751,5.06E-04
752,5.01E-04
753,4.96E-04
754,4.94E-04
755,4.91E-04
756,4.87E-04
757,4.82E-04
758,4.80E-04
759,4.78E-04
760,4.73E-04
761,4.70E-04
762,4.67E-04
763,4.64E-04
764,4.60E-04
765,4.55E-04
766,4.53E-04
767,4.51E-04
768,4.47E-04
769,4.43E-04
770,4.40E-04
771,4.38E-04
772,4.34E-04
773,4.31E-04
774,4.30E-04
775,4.26E-04
776,4.23E-04
777,4.19E-04
778,4.16E-04
779,4.15E-04
780,4.11E-04
781,4.08E-04
782,4.04E-04
783,4.03E-04
784,4.01E-04
785,3.97E-04
786,3.95E-04
787,3.92E-04
788,3.89E-04
789,3.86E-04
790,3.85E-04
791,3.82E-04
792,3.78E-04
793,3.76E-04
794,3.75E-04
795,3.72E-04
796,3.69E-04
797,3.67E-04
798,3.65E-04
799,3.62E-04
800,3.59E-04
801,3.59E-04
802,3.56E-04
803,3.53E-04
804,3.52E-04
805,3.49E-04
806,3.45E-04
807,3.42E-04
808,3.40E-04
809,3.38E-04
810,3.38E-04
811,3.36E-04
812,3.32E-04
813,3.29E-04
814,3.29E-04
815,3.27E-04
816,3.23E-04
817,3.21E-04
818,3.18E-04
819,3.18E-04
820,3.15E-04
821,3.12E-04
822,3.10E-04
823,3.09E-04
824,3.09E-04
825,3.05E-04
826,3.01E-04
827,2.98E-04
828,2.97E-04
829,2.90E-04
830,2.90E-04
831,2.86E-04
832,2.87E-04
833,2.85E-04
834,2.86E-04
835,2.86E-04
836,2.85E-04
837,2.79E-04
838,2.79E-04
839,2.78E-04
840,2.78E-04
841,2.76E-04
842,2.75E-04
843,2.71E-04
844,2.67E-04
845,2.68E-04
846,2.67E-04
847,2.61E-04
848,2.57E-04
849,2.54E-04
850,2.55E-04
851,2.58E-04
852,2.54E-04
853,2.50E-04
854,2.48E-04
855,2.47E-04
856,2.47E-04
857,2.44E-04
858,2.40E-04
859,2.37E-04
860,2.37E-04
861,2.38E-04
862,2.37E-04
863,2.36E-04
864,2.31E-04
865,2.29E-04
866,2.29E-04
867,2.28E-04
868,2.25E-04
869,2.23E-04
870,2.21E-04
871,2.21E-04
872,2.23E-04
873,2.20E-04
874,2.15E-04
875,2.11E-04
876,2.12E-04
877,2.15E-04
878,2.15E-04
879,2.10E-04
880,2.07E-04
881,2.09E-04
882,2.10E-04
883,2.06E-04
884,2.02E-04
885,1.98E-04
886,1.99E-04
887,2.03E-04
888,2.01E-04
889,1.98E-04
890,1.96E-04
891,1.95E-04
892,1.96E-04
893,1.93E-04
894,1.90E-04
895,1.91E-04
896,1.98E-04
897,1.97E-04
898,1.93E-04
899,1.92E-04
900,1.93E-04
901,1.95E-04
902,1.93E-04
903,1.87E-04
904,1.86E-04
905,1.87E-04
906,1.87E-04
907,1.85E-04
908,1.82E-04
909,1.81E-04
910,1.82E-04
911,1.82E-04
912,1.78E-04
913,1.75E-04
914,1.74E-04
915,1.76E-04
916,1.76E-04
917,1.74E-04
918,1.70E-04
919,1.70E-04
920,1.71E-04
921,1.71E-04
922,1.69E-04
923,1.65E-04
924,1.63E-04
925,1.65E-04
926,1.68E-04
927,1.66E-04
928,1.63E-04
929,1.61E-04
930,1.62E-04
931,1.62E-04
932,1.61E-04
933,1.60E-04
934,1.57E-04
935,1.58E-04
936,1.60E-04
937,1.59E-04
938,1.56E-04
939,1.56E-04
940,1.57E-04
941,1.56E-04
942,1.54E-04
943,1.51E-04
944,1.51E-04
945,1.52E-04
946,1.53E-04
947,1.52E-04
948,1.50E-04
949,1.49E-04
950,1.49E-04
951,1.49E-04
952,1.51E-04
953,1.50E-04
954,1.48E-04
955,1.47E-04
956,1.47E-04
957,1.48E-04
958,1.47E-04
959,1.44E-04
960,1.43E-04
961,1.45E-04
962,1.46E-04
963,1.45E-04
964,1.42E-04
965,1.41E-04
966,1.41E-04
967,1.41E-04
968,1.40E-04
969,1.40E-04
970,1.40E-04
971,1.40E-04
972,1.39E-04
973,1.37E-04
974,1.36E-04
975,1.36E-04
976,1.37E-04
977,1.37E-04
978,1.35E-04
979,1.34E-04
980,1.33E-04
981,1.33E-04
982,1.33E-04
983,1.31E-04
984,1.30E-04
985,1.29E-04
986,1.29E-04
987,1.30E-04
988,1.28E-04
989,1.27E-04
990,1.27E-04
991,1.26E-04
992,1.25E-04
993,1.25E-04
994,1.24E-04
995,1.24E-04
996,1.23E-04
997,1.22E-04
998,1.19E-04
999,1.18E-04
1000,1.19E-04
1001,1.19E-04
1002,1.17E-04
1003,1.16E-04
1004,1.15E-04
1005,1.15E-04
1006,1.15E-04
1007,1.15E-04
1008,1.13E-04
1009,1.12E-04
1010,1.11E-04
1011,1.11E-04
1012,1.10E-04
1013,1.08E-04
1014,1.08E-04
1015,1.08E-04
1016,1.08E-04
1017,1.06E-04
1018,1.05E-04
1019,1.05E-04
1020,1.04E-04
1021,1.04E-04
1022,1.04E-04
1023,1.02E-04
1024,1.01E-04
1025,1.00E-04
1026,1.00E-04
1027,9.97E-05
1028,9.77E-05
1029,9.65E-05
1030,9.67E-05
1031,9.80E-05
1032,9.62E-05
1033,9.42E-05
1034,9.42E-05
1035,9.40E-05
1036,9.40E-05
1037,9.37E-05
1038,9.20E-05
1039,9.10E-05
1040,9.15E-05
1041,9.15E-05
1042,9.10E-05
1043,9.03E-05
1044,8.93E-05
1045,8.93E-05
1046,8.93E-05
1047,8.88E-05
1048,8.75E-05
1049,8.65E-05
1050,8.68E-05
1051,8.73E-05
1052,8.63E-05
1053,8.48E-05
1054,8.33E-05
1055,8.26E-05
1056,8.28E-05
1057,8.35E-05
1058,8.28E-05
1059,8.03E-05
1060,8.03E-05
1061,8.21E-05
1062,8.26E-05
1063,8.18E-05
1064,8.01E-05
1065,7.93E-05
1066,8.01E-05
1067,8.03E-05
1068,8.03E-05
1069,7.93E-05
1070,7.81E-05
1071,7.83E-05
1072,7.86E-05
1073,7.76E-05
1074,7.61E-05
1075,7.51E-05
1076,7.59E-05
1077,7.64E-05
1078,7.54E-05
1079,7.49E-05
1080,7.46E-05
1081,7.44E-05
1082,7.49E-05
1083,7.44E-05
1084,7.36E-05
1085,7.41E-05
1086,7.41E-05
1087,7.39E-05
1088,7.36E-05
1089,7.31E-05
1090,7.29E-05
1091,7.29E-05
1092,7.27E-05
1093,7.24E-05
1094,7.34E-05
1095,7.34E-05
1096,7.22E-05
1097,7.17E-05
1098,7.19E-05
1099,7.07E-05
1100,7.02E-05
1101,7.09E-05
1102,7.14E-05
1103,7.12E-05
1104,7.07E-05
1105,7.07E-05
1106,7.09E-05
1107,7.19E-05
1108,7.12E-05
1109,6.87E-05
1110,6.90E-05
1111,7.02E-05
1112,7.02E-05
1113,6.87E-05
1114,6.85E-05
1115,6.85E-05
1116,6.85E-05
1117,6.77E-05
1118,6.72E-05
1119,6.75E-05
1120,6.72E-05
1121,6.80E-05
1122,6.90E-05
1123,6.80E-05
1124,6.60E-05
1125,6.62E-05
1126,6.67E-05
1127,6.67E-05
1128,6.70E-05
1129,6.67E-05
1130,6.67E-05
1131,6.67E-05
1132,6.77E-05
1133,6.87E-05
1134,6.94E-05
1135,6.94E-05
1136,6.85E-05
1137,6.77E-05
1138,6.75E-05
1139,6.85E-05
1140,6.90E-05
1141,6.75E-05
1142,6.55E-05
1143,6.62E-05
1144,6.90E-05
1145,6.99E-05
1146,6.75E-05
1147,6.43E-05
1148,6.45E-05
1149,6.70E-05
1150,6.90E-05
1151,6.72E-05
1152,6.38E-05
1153,6.30E-05
1154,6.45E-05
1155,6.62E-05
1156,6.50E-05
1157,6.18E-05
1158,6.13E-05
1159,6.43E-05
1160,6.77E-05
1161,6.72E-05
1162,6.45E-05
1163,6.35E-05
1164,6.50E-05
1165,6.67E-05
1166,6.58E-05
1167,6.30E-05
1168,6.13E-05
1169,6.30E-05
1170,6.62E-05
1171,6.60E-05
1172,6.23E-05
1173,5.96E-05
1174,6.06E-05
1175,6.33E-05
1176,6.21E-05
1177,5.64E-05
1178,5.27E-05
1179,5.27E-05
1180,5.49E-05
1181,5.35E-05
1182,4.91E-05
1183,4.61E-05
1184,4.64E-05
1185,4.88E-05
1186,4.88E-05
1187,4.71E-05
1188,4.52E-05
1189,4.52E-05
1190,4.69E-05
1191,4.56E-05
1192,4.25E-05
1193,4.03E-05
1194,3.86E-05
1195,3.74E-05
1196,3.57E-05
1197,3.37E-05
1198,3.25E-05
1199,3.03E-05
1200,2.64E-05
1201,2.30E-05
1202,2.52E-05
1203,3.03E-05
1204,2.81E-05
1205,2.13E-05
1206,1.87E-05
1207,2.50E-05
1208,3.37E-05
1209,3.54E-05
1210,3.30E-05
1211,3.27E-05
1212,3.69E-05
1213,4.10E-05
1214,4.05E-05
1215,3.78E-05
1216,3.66E-05
1217,3.98E-05
1218,4.39E-05
1219,4.39E-05
1220,4.15E-05
1221,3.98E-05
1222,4.25E-05
1223,4.74E-05
1224,4.83E-05
1225,4.66E-05
1226,4.39E-05
1227,4.61E-05
1228,5.10E-05
1229,5.22E-05
1230,5.18E-05
1231,5.20E-05
1232,5.32E-05
1233,5.49E-05
1234,5.54E-05
1235,5.57E-05
1236,5.52E-05
1237,5.54E-05
1238,5.62E-05
1239,5.62E-05
1240,5.62E-05
1241,5.62E-05
1242,5.57E-05
1243,5.54E-05
1244,5.54E-05
1245,5.59E-05
1246,5.57E-05
1247,5.49E-05
1248,5.45E-05
1249,5.47E-05
1250,5.49E-05
1251,5.49E-05
1252,5.42E-05
1253,5.27E-05
1254,5.20E-05
1255,5.15E-05
1256,5.10E-05
1257,5.05E-05
1258,5.00E-05
1259,5.05E-05
1260,5.05E-05
1261,4.98E-05
1262,4.96E-05
1263,5.00E-05
1264,5.08E-05
1265,5.05E-05
1266,4.93E-05
1267,4.96E-05
1268,5.13E-05
1269,5.18E-05
1270,5.13E-05
1271,5.08E-05
1272,5.15E-05
1273,5.20E-05
1274,5.22E-05
1275,5.22E-05
1276,5.18E-05
1277,5.20E-05
1278,5.30E-05
1279,5.35E-05
1280,5.35E-05
1281,5.32E-05
1282,5.35E-05
1283,5.42E-05
1284,5.42E-05
1285,5.37E-05
1286,5.35E-05
1287,5.37E-05
1288,5.47E-05
1289,5.49E-05
1290,5.45E-05
1291,5.47E-05
1292,5.52E-05
1293,5.57E-05
1294,5.54E-05
1295,5.57E-05
1296,5.59E-05
1297,5.69E-05
1298,5.71E-05
1299,5.69E-05
1300,5.71E-05
