wavelength,Qabs
380,2.68E-02
381,2.50E-02
382,2.50E-02
383,2.50E-02
384,2.41E-02
385,2.29E-02
386,2.29E-02
387,2.20E-02
388,2.14E-02
389,2.12E-02
390,2.06E-02
391,2.02E-02
392,1.98E-02
393,1.93E-02
394,1.92E-02
395,1.88E-02
396,1.84E-02
397,1.82E-02
398,1.78E-02
399,1.75E-02
400,1.72E-02
401,1.69E-02
402,1.66E-02
403,1.64E-02
404,1.61E-02
405,1.59E-02
406,1.56E-02
407,1.53E-02
408,1.51E-02
409,1.49E-02
410,1.46E-02
411,1.44E-02
412,1.42E-02
413,1.40E-02
414,1.38E-02
415,1.36E-02
416,1.34E-02
417,1.32E-02
418,1.30E-02
419,1.28E-02
420,1.26E-02
421,1.24E-02
422,1.22E-02
423,1.21E-02
424,1.19E-02
425,1.17E-02
426,1.15E-02
427,1.14E-02
428,1.13E-02
429,1.11E-02
430,1.09E-02
431,1.08E-02
432,1.06E-02
433,1.05E-02
434,1.03E-02
435,1.02E-02
436,1.01E-02
437,9.91E-03
438,9.78E-03
439,9.66E-03
440,9.52E-03
441,9.40E-03
442,9.27E-03
443,9.15E-03
444,9.03E-03
445,8.91E-03
446,8.79E-03
447,8.68E-03
448,8.57E-03
449,8.45E-03
450,8.35E-03
451,8.24E-03
452,8.13E-03
453,8.03E-03
454,7.93E-03
455,7.83E-03
456,7.73E-03
457,7.63E-03
458,7.54E-03
459,7.45E-03
460,7.35E-03
461,7.26E-03
462,7.17E-03
463,7.08E-03
464,6.99E-03
465,6.90E-03
466,6.82E-03
467,6.74E-03
468,6.65E-03
469,6.57E-03
470,6.49E-03
471,6.41E-03
472,6.33E-03
473,6.26E-03
474,6.18E-03
475,6.11E-03
476,6.04E-03
477,5.97E-03
478,5.90E-03
479,5.83E-03
480,5.76E-03
481,5.69E-03
482,5.62E-03
483,5.56E-03
484,5.49E-03
485,5.42E-03
486,5.36E-03
487,5.30E-03
488,5.24E-03
489,5.18E-03
490,5.12E-03
491,5.06E-03
492,5.00E-03
493,4.94E-03
494,4.89E-03
495,4.83E-03
496,4.78E-03
497,4.72E-03
498,4.67E-03
499,4.62E-03
500,4.56E-03
501,4.51E-03
502,4.46E-03
503,4.41E-03
504,4.36E-03
505,4.31E-03
506,4.26E-03
507,4.22E-03
508,4.17E-03
509,4.12E-03
510,4.08E-03
511,4.03E-03
512,3.99E-03
513,3.95E-03
514,3.90E-03
515,3.86E-03
516,3.82E-03
517,3.78E-03
518,3.74E-03
519,3.69E-03
520,3.65E-03
521,3.61E-03
522,3.58E-03
523,3.54E-03
524,3.50E-03
525,3.46E-03
526,3.42E-03
527,3.39E-03
528,3.36E-03
529,3.32E-03
530,3.28E-03
531,3.25E-03
532,3.21E-03
533,3.18E-03
534,3.14E-03
535,3.11E-03
536,3.08E-03
537,3.05E-03
538,3.02E-03
539,2.99E-03
540,2.96E-03
541,2.92E-03
542,2.89E-03
543,2.86E-03
544,2.84E-03
545,2.81E-03
